Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:52:03:40.323,61,0.0856544673,0.2456293702,0.1622625589,0.0000000000,0.0000000000,0.0383236110,0.0000000000,0.0857124701,0.2465446889,0.0000000000,0.0443987064,0.0000000000,0.0383236296,0.0000000000,0.0054182648,0.0031427538,0.0000000000,0.0167430826,0.0204049088,0.0062515452,0.0404104926,0.0052672047,0.0000000000,0.1877448559,0.2001878768,0.0000000000,0.0000000000,0.0343667939,0.0352540687,0.0279418956,0.0289596952,0.0215977002,0.0130692068,0.0859199986,0.0564574599,0.0273032226,0.0278075542,0.0312463604,0.0278586913,0.0131090060,0.0144232251,0.0421708338,0.0421016328,0.0377345830,0.0000000000,0.0000000000,0.0081351381,0.0295329448,0.0326909274,0.0567661226,0.0630422235,0.0000000102,0.0320089497,0.0893768072,0.0184712037,0.0268145502,0.1506601572,0.0040702205,0.0980032757,0.1507754475,0.0148645677
11:52:03:41.322,61,0.0877369791,0.2479448169,0.1647918820,0.0000000000,0.0000000000,0.0380901694,0.0000000000,0.0877843648,0.2488974631,0.0000000000,0.0469957553,0.0000000000,0.0380901136,0.0000000000,0.0053899637,0.0031056260,0.0000000000,0.0166222285,0.0202875584,0.0062610088,0.0403899774,0.0054140454,0.0000000000,0.1865200400,0.1998398155,0.0000000000,0.0000000000,0.0342104994,0.0350752175,0.0278881881,0.0288598947,0.0216041692,0.0129704718,0.0876996890,0.0571676493,0.0275329463,0.0280498192,0.0310169086,0.0276571531,0.0132175563,0.0145414574,0.0418525003,0.0417821743,0.0377298482,0.0000000000,0.0000000000,0.0081667807,0.0295714512,0.0327022076,0.0570666119,0.0633945242,0.0000000090,0.0346550047,0.0877685621,0.0175712630,0.0283768028,0.1521045268,0.0043492266,0.0995093435,0.1522197425,0.0152390134
11:52:03:42.322,61,0.0886167809,0.2482774109,0.1632728875,0.0000000000,0.0000000000,0.0379385240,0.0000000000,0.0886691287,0.2492150217,0.0000000000,0.0454951078,0.0000000000,0.0379384421,0.0000000000,0.0053748521,0.0029856127,0.0000000000,0.0165652372,0.0202374943,0.0062597403,0.0403059870,0.0054915417,0.0000000000,0.1861533374,0.1997098923,0.0000000000,0.0000000000,0.0340999775,0.0349490233,0.0278644860,0.0288189035,0.0215949118,0.0129222330,0.0881592706,0.0573351085,0.0275811143,0.0281044338,0.0309235882,0.0275649615,0.0132671697,0.0145930508,0.0409825407,0.0409181304,0.0379025266,0.0000000000,0.0000000000,0.0081588430,0.0296172723,0.0327300020,0.0572235659,0.0636091530,0.0000000076,0.0365874767,0.0865975097,0.0172554404,0.0274698753,0.1522946954,0.0042156074,0.0985890999,0.1524098814,0.0151177188
11:52:03:43.322,61,0.0893610716,0.2487347573,0.1649223864,0.0000000000,0.0000000000,0.0381588303,0.0000000000,0.0894248039,0.2496922016,0.0000000000,0.0471467599,0.0000000000,0.0381587408,0.0000000000,0.0053922739,0.0027831518,0.0000000000,0.0167328119,0.0204593744,0.0063174558,0.0404135175,0.0054114047,0.0000000000,0.1860869825,0.1997109503,0.0000000000,0.0000000000,0.0340708047,0.0349275693,0.0279725734,0.0289596040,0.0216493234,0.0130018257,0.0866610631,0.0569372103,0.0275069550,0.0280188303,0.0312294606,0.0278355889,0.0132834129,0.0146107590,0.0411224812,0.0410608128,0.0382125229,0.0000000000,0.0000000000,0.0081510311,0.0298314523,0.0329307057,0.0573263876,0.0637724251,0.0000000224,0.0376820825,0.0870498866,0.0171860922,0.0284658652,0.1525906175,0.0043770331,0.0995807871,0.1527058184,0.0152993696
11:52:03:44.321,61,0.0891798288,0.2467341274,0.1663606465,0.0000000000,0.0000000000,0.0383389592,0.0000000000,0.0892436579,0.2476982772,0.0000000000,0.0485431366,0.0000000000,0.0383388735,0.0000000000,0.0054096999,0.0028862744,0.0000000000,0.0169212911,0.0206861515,0.0063365991,0.0404830426,0.0052877828,0.0000000000,0.1860560775,0.1998837888,0.0000000000,0.0000000000,0.0341072418,0.0349890478,0.0280889533,0.0290989745,0.0216462407,0.0131084602,0.0833940879,0.0554276742,0.0272874162,0.0277827103,0.0315786116,0.0281458348,0.0132107995,0.0145388525,0.0415761173,0.0415138453,0.0383718386,0.0000000000,0.0000000000,0.0081146248,0.0298874956,0.0330027975,0.0571423657,0.0636165291,0.0000000276,0.0396275222,0.0882885382,0.0162897892,0.0293144137,0.1513758451,0.0044710315,0.1004679203,0.1514910907,0.0153105184
11:52:03:45.320,61,0.0886036530,0.2439873815,0.1691351384,0.0000000000,0.0000000000,0.0386409946,0.0000000000,0.0886504725,0.2449686378,0.0000000000,0.0513246730,0.0000000000,0.0386409126,0.0000000000,0.0054479148,0.0030810626,0.0000000000,0.0171454959,0.0209486485,0.0063641500,0.0404820666,0.0051647080,0.0000000000,0.1860149503,0.2000706643,0.0000000000,0.0000000000,0.0342242122,0.0351414420,0.0282914322,0.0293187406,0.0216765944,0.0132602695,0.0808856115,0.0539256185,0.0270484090,0.0275210757,0.0320367590,0.0285541788,0.0131191872,0.0144453403,0.0420213267,0.0419552699,0.0385652520,0.0000000000,0.0000000000,0.0080768336,0.0299612544,0.0330920778,0.0568962954,0.0634010285,0.0000000296,0.0399580598,0.0919803828,0.0153556569,0.0310019609,0.1497153044,0.0046756784,0.1021693200,0.1498305947,0.0153956432
11:52:03:46.320,61,0.0882611126,0.2427041680,0.1708767265,0.0000000000,0.0000000000,0.0390191078,0.0000000000,0.0883018896,0.2436979860,0.0000000000,0.0530497991,0.0000000000,0.0390190333,0.0000000000,0.0054899254,0.0032248425,0.0000000000,0.0174283423,0.0212939363,0.0064265043,0.0405758470,0.0049983501,0.0000000000,0.1857111752,0.2000601441,0.0000000000,0.0000000000,0.0342903137,0.0352391116,0.0285287295,0.0295784175,0.0217109788,0.0134347044,0.0787814483,0.0524190962,0.0268159229,0.0272650253,0.0325938910,0.0290616918,0.0130301183,0.0143572707,0.0430154689,0.0429373533,0.0388169438,0.0000000000,0.0000000000,0.0080535440,0.0300907567,0.0332380868,0.0567069128,0.0632489026,0.0000000299,0.0403943360,0.0949670002,0.0143189766,0.0320477337,0.1489436775,0.0048080618,0.1032334343,0.1490590125,0.0154741034
11:52:03:47.320,61,0.0879717022,0.2434619963,0.1705685258,0.0000000000,0.0000000000,0.0393384434,0.0000000000,0.0880095512,0.2444560677,0.0000000000,0.0527548343,0.0000000000,0.0393383764,0.0000000000,0.0055128480,0.0032662561,0.0000000000,0.0176477320,0.0215779301,0.0064859064,0.0407561585,0.0047622058,0.0000000000,0.1855248660,0.2001289427,0.0000000000,0.0000000000,0.0343080871,0.0352922380,0.0287069045,0.0298036579,0.0217126552,0.0135597661,0.0776842386,0.0515348166,0.0266129766,0.0270390231,0.0330790393,0.0295164417,0.0129642179,0.0142978458,0.0461402498,0.0460693613,0.0389665067,0.0000000000,0.0000000000,0.0080389818,0.0301907975,0.0333672799,0.0565673225,0.0631331876,0.0000000147,0.0410528407,0.0969699398,0.0129829366,0.0318673328,0.1494061351,0.0047960724,0.1030400917,0.1495214403,0.0154938605
11:52:03:48.319,61,0.0880222395,0.2443056703,0.1706211269,0.0000000000,0.0000000000,0.0396486185,0.0000000000,0.0880646482,0.2453043759,0.0000000000,0.0527908504,0.0000000000,0.0396485589,0.0000000000,0.0055305492,0.0032489428,0.0000000000,0.0177983232,0.0217608865,0.0065287068,0.0409577638,0.0043969969,0.0000000000,0.1852660775,0.2001027763,0.0000000000,0.0000000000,0.0343638547,0.0353950597,0.0288197435,0.0299858619,0.0217068233,0.0136491479,0.0771520287,0.0510282144,0.0264667068,0.0268758088,0.0333734564,0.0298044942,0.0129067320,0.0142506501,0.0474846698,0.0474167913,0.0390722379,0.0000000000,0.0000000000,0.0080405641,0.0302642602,0.0334762894,0.0564533398,0.0630509034,0.0000000170,0.0405100100,0.0976553559,0.0122236125,0.0318865962,0.1499247104,0.0048158788,0.1030638665,0.1500400007,0.0155519741
11:52:03:49.318,61,0.0881216824,0.2461608946,0.1708105057,0.0000000000,0.0000000000,0.0396653973,0.0000000000,0.0881713107,0.2471704036,0.0000000000,0.0529623479,0.0000000000,0.0396653451,0.0000000000,0.0055320747,0.0031022499,0.0000000000,0.0178664383,0.0218490213,0.0065524373,0.0411168076,0.0041266722,0.0000000000,0.1852827519,0.2001503706,0.0000000000,0.0000000000,0.0343447961,0.0354003869,0.0288582351,0.0300850496,0.0216791444,0.0136874821,0.0769126117,0.0507557094,0.0263675153,0.0267622303,0.0334836245,0.0299184751,0.0128626730,0.0142105389,0.0478222258,0.0477572009,0.0392171405,0.0000000000,0.0000000000,0.0080436403,0.0302917119,0.0335105062,0.0563959740,0.0630296841,0.0000000191,0.0407318287,0.0954475850,0.0120823318,0.0319846570,0.1510656923,0.0048680091,0.1031605378,0.1511809975,0.0156866815
