Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,HeadPitch_filtered,HeadRoll_filtered,HeadYaw_filtered
20:52:28:29.173,61,0.0001068858,0.0,0.2721280754,0.0,0.009500022,0.2536779344,0.0675081015,0.0001064407,0.0,0.0,0.1560138315,0.009791512,0.2528656423,0.0676839948,0.0289617833,0.0,0.0008919371,0.0467574671,0.0578607619,0.0267664958,0.0538951121,0.005658133,0.0,0.2023967803,0.2595523298,0.0,0.0,0.0744486749,0.0775574297,0.1148980483,0.1143578961,0.0974818021,0.0272009354,0.2090234756,0.1334212571,0.0805733874,0.082578972,0.1003507897,0.0933916271,0.039951127,0.043525856,0.2334891856,0.2332765609,0.0469293222,0.0,0.0,0.0223060139,0.1304662526,0.133550629,0.1408344954,0.1489033252,7.3493e-06,0.0875641778,-0.2053623646,-0.0489388742,0.0953025743,-0.0042918287,-0.0004084059,0.1662321538,-0.0042031053,-0.0006954819,-0.198699673118,-0.026404843250000008,0.08549155578
20:52:28:30.172,61,9.83678e-05,0.0,0.2842539251,0.0,0.002796114,0.2542537451,0.0563068204,9.79582e-05,0.0,0.0,0.1683347821,0.0030267315,0.2532871366,0.056451641,0.0287312921,0.0,0.0011872795,0.0463518612,0.0573442355,0.0268318169,0.0540207177,0.0055249818,0.0,0.1930496246,0.2495375872,0.0,0.0,0.0743338615,0.0773478076,0.1145742312,0.113862887,0.0972343609,0.0271615591,0.2074795812,0.1326514184,0.0809663311,0.0828231052,0.0990610272,0.0928462297,0.0398420878,0.0433113277,0.2341220379,0.2339309603,0.0464153737,0.0,0.0,0.0224470943,0.1303409189,0.1309981197,0.1414038539,0.1484053135,7.5188e-06,0.0948287919,-0.2025585175,-0.0509431735,0.1028297916,-0.0013276738,-0.000136284,0.1736407131,-0.0012386614,-0.000214003,-0.19831615925,-0.029068339834000003,0.09104221247
20:52:28:31.173,61,9.05287e-05,0.0,0.2939736247,0.0,0.0027772083,0.2545456588,0.0468682759,9.01517e-05,0.0,0.0,0.1783096939,0.0030085638,0.2534202933,0.0470214449,0.028449988,0.0,0.0014215001,0.0459866486,0.0569129996,0.0268992968,0.0541288294,0.0053974316,0.0,0.189782083,0.2465503961,0.0,0.0,0.0741436779,0.0770684108,0.1142729446,0.1133979782,0.0970242694,0.0271354895,0.2061698139,0.1318297833,0.0811002254,0.0828003958,0.098329328,0.0924159065,0.0397785492,0.0431463011,0.2345211655,0.2343456,0.0459324382,0.0,0.0,0.0225121323,0.1301157475,0.1290174276,0.1418307275,0.1478984356,8.2607e-06,0.1008474752,-0.1997939199,-0.0528062843,0.1089231148,-0.0013205594,-0.0001435553,0.1795781553,-0.0012315908,-0.0002199801,-0.19781799167600003,-0.031661010749999996,0.09646161109000001
20:52:28:32.172,61,0.0002095782,0.0012880475,0.3093701005,0.0,0.0,0.2541279495,0.0339572355,0.000208849,0.0011573074,0.0,0.1940542459,0.0,0.2525782883,0.0340692624,0.0281430632,0.0,0.0016376066,0.0455486998,0.0563396662,0.0268790163,0.05426047,0.0052735233,0.0,0.1860634983,0.2446668744,0.0,0.0,0.0741228461,0.0769397393,0.1138345301,0.1127819568,0.0968506411,0.0271395296,0.2054275721,0.1312476099,0.0812536851,0.082795307,0.0970887393,0.0918072239,0.0396767035,0.0429379009,0.2346958667,0.2345340997,0.0454761088,0.0,0.0,0.0225807726,0.1295818985,0.1248415709,0.1421072483,0.1472746581,5.7542e-06,0.1063141748,-0.1975229681,-0.0547375083,0.1185409799,0.0007119553,8.41984e-05,0.1889833659,0.0008010862,0.0001504925,-0.197287032308,-0.034148866156,0.101702639308
20:52:28:33.172,61,0.0003913128,0.0093042105,0.3205076456,0.0,0.0,0.2539124191,0.0249832813,0.0003898905,0.0092653306,0.0,0.2053803504,0.0,0.2521029711,0.0250547975,0.02784211,0.0,0.0018633899,0.0450293645,0.055225946,0.0267367698,0.054479938,0.0051024794,0.0,0.1716510803,0.2341256142,0.0,0.0,0.074141562,0.0768584311,0.1124325544,0.1105722636,0.0965890065,0.027147023,0.2051222622,0.1310261339,0.0815467462,0.0829283223,0.0925079212,0.0888662711,0.0394260027,0.0425741747,0.2346613109,0.2345112264,0.0450820215,0.0,0.0,0.0227110144,0.1280170381,0.1202088594,0.1423418373,0.1466453075,9.4603e-06,0.11247655,-0.1939625144,-0.0564052276,0.125457719,0.0057047051,0.0007138309,0.1957837939,0.0057943189,0.0011272124,-0.196709728838,-0.036538869955999996,0.10678258724200002
20:52:28:34.170,61,0.0005492392,0.0087311221,0.3313702643,0.0,0.0,0.2538560033,0.0195662193,0.0005473191,0.0086899325,0.0,0.2165436894,0.0,0.251788497,0.0196175296,0.0275552459,0.0,0.0020451562,0.044547841,0.0543337427,0.026511915,0.0546587035,0.0047691553,0.0,0.1639073491,0.2302580178,0.0,0.0,0.074254185,0.0768992901,0.1115643382,0.1092699915,0.0964130014,0.0271967649,0.2048947364,0.1308229715,0.0816906989,0.0829280391,0.089755699,0.0869329423,0.0390771851,0.0421430431,0.234353736,0.2342146188,0.0447063632,0.0,0.0,0.0228396039,0.1254511327,0.1159630939,0.1424118727,0.1458235979,1.83691e-05,0.1195482984,-0.1906696856,-0.0586247146,0.1322771311,0.0053551607,0.0007063081,0.2024196833,0.005444705,0.001094615,-0.196077376008,-0.038832647197999996,0.11170335866200003
20:52:28:35.171,61,0.0015249354,0.0130088674,0.3457864523,0.0,0.0,0.2541424334,0.0143630514,0.0015064633,0.0130264368,0.0,0.2310604006,0.0,0.2517917454,0.0144100757,0.0272790752,0.0,0.0022230349,0.0439874008,0.0529128797,0.0261601806,0.0547267571,0.0044184509,0.0,0.1587826163,0.22691755,0.0,0.0,0.074417077,0.0769876391,0.1103283614,0.1077063754,0.0962536708,0.0272552408,0.2046991438,0.1306456774,0.0817840993,0.0828662217,0.0875032991,0.0852587298,0.0386861786,0.0416626185,0.2344508916,0.2343222648,0.0442446955,0.0,0.0,0.0229511112,0.1231162921,0.1126243323,0.1425326169,0.1450555176,2.31824e-05,0.1249935329,-0.1899721622,-0.0603885353,0.1411422789,0.0080373222,0.001130667,0.2112221718,0.0081272963,0.0017039647,-0.19547063022799996,-0.041003708981999995,0.116449024004
20:52:28:36.170,61,0.0084902951,0.0217203088,0.3493433297,0.0,0.0,0.2545714378,0.0048658531,0.008472939,0.0218499005,0.0,0.2346301824,0.0,0.2519571185,0.0049001547,0.0270156227,0.0,0.0023745236,0.0434605703,0.0520314723,0.0258525703,0.0546783544,0.0040111532,0.0,0.1565335244,0.2254338562,0.0,0.0,0.0744216368,0.0769532397,0.1093494296,0.10668239,0.0959785879,0.0273131877,0.2031626105,0.1301440299,0.0818088874,0.0827277899,0.0862473696,0.0842491388,0.0383595452,0.041261483,0.2346232682,0.2345044017,0.0438899063,0.0,0.0,0.0229863003,0.1220920235,0.1111739576,0.1428792775,0.1446588784,6.22452e-05,0.132178247,-0.190147534,-0.0627494603,0.1433145702,0.0134856077,0.0019261894,0.2133826464,0.0135761034,0.0028751399,-0.19487539201999998,-0.043089618228,0.121028797028
20:52:28:37.170,61,0.0127712535,0.0225614049,0.3653241396,0.0,0.0,0.2615558207,0.0,0.012758581,0.022717258,0.0,0.2508557141,0.0,0.2566888034,0.0,0.0267580505,0.0,0.0023866035,0.0430308655,0.0513566993,0.0254624039,0.0544250086,0.0034186107,0.0,0.1554090828,0.2251755595,0.0,0.0,0.0744591951,0.0770067349,0.1087647974,0.106070593,0.0955940634,0.0274181645,0.1955386847,0.1263347566,0.0814192146,0.0821923539,0.0855276138,0.0836679637,0.0379617289,0.0408138707,0.2346814275,0.2345718294,0.043548163,0.0,0.0,0.0228957925,0.1214148104,0.1102837846,0.1430084705,0.1440924406,0.0001357589,0.1373889744,-0.1890764087,-0.0653330833,0.1532241553,0.0140417032,0.0021432571,0.2231422961,0.014132387,0.0031276261,-0.19422580868000003,-0.04506159662400001,0.12536735057399997
20:52:28:38.169,61,0.0145811848,0.0254589282,0.3728687763,0.0,0.0,0.2658562362,0.0,0.0145699494,0.0256619547,0.0,0.258314997,0.0,0.2593156993,0.0,0.0265363101,0.0,0.0024754838,0.0426081941,0.0506857112,0.0249992758,0.0542327277,0.0026944207,0.0,0.1547127813,0.2252288312,0.0,0.0,0.0746598989,0.0772229657,0.1083363146,0.105668053,0.0952029824,0.0275106318,0.1933473498,0.1250965148,0.0811673626,0.0817684308,0.0847802386,0.0830647275,0.0375415534,0.0403482094,0.2348798811,0.2347789109,0.0432174914,0.0,0.0,0.0227877703,0.1211341396,0.1098249331,0.1432556808,0.1435940266,0.0001484543,0.1436918974,-0.1900269836,-0.0672839135,0.1577761322,0.0158731733,0.0024942348,0.2277445793,0.0159642361,0.0036047106,-0.19358213394800003,-0.046917865492,0.12944341610600002
